Basque,Catalan,Dutch,Filipino,Finnish,French,German,Haitian Creole,Hindi,Indonesian,Italian,Lithuanian,Norwegian,Polish,Portuguese,Romanian,Spanish,Swedish,Turkish,Undefined,Vietnamese
2020-03-12,0,0,12,1,3,35,24,0,0,2,19,0,0,14,14,4,0,0,0,0,0
2020-03-13,0,0,10,0,4,41,18,0,0,0,10,3,0,11,12,0,0,0,0,0,0
2020-03-14,0,0,12,0,3,19,24,0,0,0,16,2,0,16,8,0,0,0,0,0,0
2020-03-15,0,0,10,0,1,18,27,0,0,0,20,1,0,24,15,4,0,0,0,0,0
2020-03-16,0,0,21,1,4,34,35,1,0,0,20,7,0,11,37,1,0,0,0,0,0
2020-03-17,0,0,18,0,3,66,17,0,0,0,19,4,0,13,21,1,0,0,0,0,0
2020-03-18,0,0,40,0,5,100,21,0,0,0,24,3,0,9,16,3,0,0,0,0,0
2020-03-19,0,0,48,0,2,59,23,1,0,0,41,6,0,12,34,3,0,0,0,0,0
2020-03-20,0,0,20,0,2,42,27,0,0,0,39,0,0,7,35,0,1,0,0,0,0
2020-03-21,0,0,15,0,7,46,18,0,0,0,53,1,0,6,8,1,0,0,0,0,0
2020-03-22,0,0,29,0,4,36,48,0,0,0,102,3,0,12,24,1,1,0,0,0,0
2020-03-23,0,0,25,0,3,66,31,0,0,0,120,2,0,17,29,1,0,0,0,0,0
2020-03-24,0,0,49,0,3,33,32,0,0,0,51,2,0,10,22,1,0,0,0,0,0
2020-03-25,0,0,31,0,0,64,24,0,0,0,59,3,0,4,24,1,0,0,0,0,0
2020-03-26,0,0,29,0,1,67,27,0,0,0,52,2,0,6,23,2,0,0,0,0,0
2020-03-27,0,0,55,0,6,46,17,0,0,0,39,2,0,7,32,1,0,0,0,0,0
2020-03-28,0,0,27,0,4,36,21,0,0,0,49,3,0,5,15,1,2,0,0,0,0
2020-03-29,0,0,32,0,28,34,20,0,0,0,47,2,0,7,28,2,0,0,0,0,0
2020-03-30,0,0,38,0,2,34,30,0,0,0,43,1,0,12,15,3,0,0,0,0,0
2020-03-31,0,1,80,0,2,56,29,0,0,0,39,9,0,9,21,3,0,0,0,0,0
2020-04-01,0,0,68,0,6,58,36,0,0,0,29,7,0,4,46,3,2,0,0,0,0
2020-04-02,0,0,47,0,2,64,22,0,0,0,32,5,0,9,30,3,1,0,0,0,0
2020-04-03,0,0,60,1,7,91,40,0,0,0,41,9,0,14,59,4,0,0,0,0,0
2020-04-04,0,0,82,1,6,88,37,1,0,0,109,7,0,31,90,6,5,0,0,0,0
2020-04-05,1,0,131,0,6,153,87,2,0,1,232,13,0,36,100,12,1,0,0,0,0
2020-04-06,0,1,277,0,20,384,155,0,0,1,349,18,0,44,183,26,2,0,0,0,0
2020-04-07,0,0,172,1,20,282,100,0,0,0,317,4,0,38,182,15,2,0,0,0,0
2020-04-08,0,0,95,0,8,152,58,0,0,0,258,6,0,51,115,6,2,0,0,0,0
2020-04-09,0,1,85,0,13,102,46,0,0,0,178,4,0,25,66,0,2,0,0,0,1
2020-04-10,0,0,188,0,8,109,45,0,0,0,147,1,0,17,78,2,1,0,0,0,0
2020-04-11,0,0,375,0,2,127,27,1,0,0,106,2,0,17,113,5,0,1,0,0,0
2020-04-12,0,0,227,0,8,72,44,0,0,0,61,5,0,24,89,8,1,0,0,0,0
2020-04-13,0,0,169,0,21,87,40,0,0,0,67,5,0,18,79,5,1,0,0,0,0
2020-04-14,0,0,241,0,25,100,45,0,0,0,67,6,0,35,46,12,1,1,0,0,0
2020-04-15,0,0,178,0,4,126,76,1,0,0,76,2,0,35,51,1,0,0,0,0,0
2020-04-16,0,1,148,0,9,92,33,0,0,0,59,3,0,34,51,8,1,0,0,0,0
2020-04-17,0,1,81,0,9,142,36,0,0,0,79,1,0,28,63,2,0,0,0,0,0
2020-04-18,0,0,81,0,5,138,78,1,0,0,73,1,0,24,53,1,2,0,0,0,1
2020-04-19,0,1,173,0,2,65,55,0,0,0,94,1,0,19,37,4,0,0,0,0,0
2020-04-20,0,1,183,1,15,105,29,0,0,0,158,1,0,25,40,2,1,0,0,0,0
2020-04-21,0,1,174,0,7,137,56,0,0,0,94,6,0,36,41,10,0,1,0,0,0
2020-04-22,0,0,140,1,1,109,70,0,0,0,68,5,1,11,28,3,1,0,0,0,0
2020-04-23,0,0,146,0,4,155,59,0,0,0,103,4,0,26,39,5,0,0,0,0,0
2020-04-24,0,0,90,0,3,90,53,0,0,0,68,8,0,29,26,5,0,0,0,0,0
2020-04-25,0,1,46,0,3,128,35,0,0,0,50,5,0,20,9,4,0,0,0,0,0
2020-04-26,0,0,43,0,1,61,53,0,0,0,47,3,0,16,17,3,1,0,0,0,0
2020-04-27,0,0,32,0,3,64,41,0,0,0,55,1,0,17,24,6,0,0,0,0,0
2020-04-28,0,0,160,0,10,87,25,0,0,0,98,0,0,26,22,4,1,0,0,0,0
2020-04-29,0,0,73,0,3,61,48,0,0,0,55,0,0,14,34,3,1,0,0,0,0
2020-04-30,0,0,73,0,2,51,41,0,0,0,50,1,0,10,21,2,0,0,0,0,0
2020-05-01,0,0,59,0,1,57,25,0,0,0,88,2,0,13,16,1,0,0,0,0,0
2020-05-02,0,0,39,0,1,31,32,0,0,0,87,2,0,11,9,1,0,0,0,0,0
2020-05-03,0,0,42,0,10,57,27,0,0,0,95,2,0,7,11,2,0,0,0,0,0
2020-05-04,0,0,59,0,1,108,27,0,0,0,84,0,0,7,17,5,0,0,0,0,0
2020-05-05,0,0,77,1,4,123,40,0,0,0,212,0,0,15,19,2,0,0,0,0,0
2020-05-06,0,0,48,0,4,113,36,0,0,0,83,1,0,12,26,1,0,0,0,0,0
2020-05-07,0,0,39,0,0,109,43,0,0,0,111,3,0,5,26,5,0,0,0,0,0
2020-05-08,0,0,41,0,4,80,32,0,0,0,85,1,0,18,34,0,0,0,0,0,0
2020-05-09,0,1,87,0,0,54,104,0,0,0,70,1,0,24,11,0,0,0,0,0,0
2020-05-10,0,0,53,0,1,110,44,0,0,0,73,3,0,17,9,0,0,0,0,0,0
2020-05-11,0,0,45,0,5,81,46,0,0,0,118,3,0,32,16,2,0,0,0,0,0
2020-05-12,0,0,28,0,1,59,49,0,0,0,80,0,0,53,24,1,0,0,0,0,0
2020-05-13,0,0,33,0,0,33,70,0,0,0,69,3,0,14,16,0,0,0,0,0,0
2020-05-14,0,0,54,0,0,55,44,0,0,0,46,1,0,15,23,2,0,0,0,0,0
2020-05-15,0,1,25,1,1,56,40,0,0,0,71,0,0,11,78,3,1,0,0,0,0
2020-05-16,0,0,27,0,1,75,27,0,0,0,43,0,0,14,12,3,0,0,0,0,0
2020-05-17,0,0,30,0,2,52,20,0,0,0,45,2,0,15,10,4,0,0,0,0,0
