lang,date,average_sentiment_polarity
pl,2020-07-09,0.2708333333333333
pl,2020-07-10,0.0
pl,2020-07-11,0.0
pl,2020-07-12,0.125
pl,2020-07-13,0.0
pl,2020-07-14,0.0
pl,2020-07-15,0.25
pl,2020-07-16,0.0
pl,2020-07-17,0.0
pl,2020-07-18,0.0
pl,2020-07-19,0.0
pl,2020-07-20,0.0
pl,2020-07-21,-0.125
pl,2020-07-22,0.0
pl,2020-07-23,0.0571428571428571
pl,2020-07-24,0.0416666666666666
pl,2020-07-25,0.0833333333333333
pl,2020-07-26,0.15
pl,2020-07-28,0.0
pl,2020-07-29,0.0
pl,2020-07-30,0.075
pl,2020-07-31,0.0
pl,2020-08-01,0.175
pl,2020-08-02,0.0
pl,2020-08-04,0.125
pl,2020-08-05,0.0
pl,2020-08-06,0.0
pl,2020-08-07,0.0
pl,2020-08-08,0.3333333333333333
pl,2020-08-09,0.0
pl,2020-08-10,0.0
pl,2020-08-11,0.0
pl,2020-08-12,0.0
pl,2020-08-13,0.0
pl,2020-08-14,0.0
pl,2020-08-15,0.0
pl,2020-08-16,0.0
pl,2020-08-17,0.0
pl,2020-08-18,0.1785714285714285
pl,2020-08-19,0.0
pl,2020-08-20,0.0625
pl,2020-08-21,0.0
pl,2020-08-22,0.0
pl,2020-08-23,0.0
pl,2020-08-24,0.0
pl,2020-08-25,0.0
pl,2020-08-26,0.0
pl,2020-08-27,-0.0333333333333333
pl,2020-08-28,-0.0129629629629629
pl,2020-08-29,-0.0333333333333333
pl,2020-08-30,-0.08
pl,2020-08-31,0.0
pl,2020-09-01,0.0
pl,2020-09-02,0.0
pl,2020-09-03,0.0
pl,2020-09-04,0.0
pl,2020-09-05,0.0
pl,2020-09-06,0.0
pl,2020-09-07,0.0
pl,2020-09-08,0.1428571428571428
pl,2020-09-09,0.0
pl,2020-09-10,0.0
pl,2020-09-11,0.0
pl,2020-09-12,0.0
pl,2020-09-13,0.0
pl,2020-09-14,-0.25
pl,2020-09-15,0.0
pl,2020-09-16,0.0
pl,2020-09-17,0.0
pl,2020-09-18,0.0
pl,2020-09-19,-0.0333333333333333
pl,2020-09-20,-0.025
pl,2020-09-21,0.0
pl,2020-09-22,0.0958333333333333
pl,2020-09-24,0.0
pl,2020-09-25,0.15
pl,2020-09-26,0.4666666666666667
pl,2020-09-27,0.0625
pl,2020-09-28,-0.1
pl,2020-09-29,0.0625
pl,2020-09-30,0.0348484848484848
pl,2020-10-01,0.0
pl,2020-10-02,0.0
pl,2020-10-03,-0.125
pl,2020-10-04,0.05
pl,2020-10-05,0.0
pl,2020-10-06,0.0
pl,2020-10-07,-0.025
pl,2020-10-08,0.0
pl,2020-10-09,0.0
pl,2020-10-10,0.0714285714285714
pl,2020-10-11,0.04375
pl,2020-10-12,0.03
pl,2020-10-13,-0.0153846153846153
pl,2020-10-14,-0.0083333333333333
pl,2020-10-15,0.0
pl,2020-10-16,0.0
pl,2020-10-17,0.0
pl,2020-10-18,0.0
pl,2020-10-19,0.0833333333333333
pl,2020-10-20,0.0
pl,2020-10-21,0.0
pl,2020-10-22,0.0
pl,2020-10-23,0.0
pl,2020-10-24,0.0
pl,2020-10-25,0.1666666666666666
