date,Neutral,Opponents,Supporters
2020-04-29 00:00:00+00:00,238,152,545
2020-04-30 00:00:00+00:00,263,127,521
2020-05-01 00:00:00+00:00,314,146,582
2020-05-02 00:00:00+00:00,191,120,779
2020-05-03 00:00:00+00:00,224,681,1051
2020-05-04 00:00:00+00:00,243,295,648
2020-05-05 00:00:00+00:00,289,163,624
2020-05-06 00:00:00+00:00,340,156,588
2020-05-07 00:00:00+00:00,352,191,721
2020-05-08 00:00:00+00:00,224,106,527
2020-05-09 00:00:00+00:00,181,125,440
2020-05-10 00:00:00+00:00,210,107,585
2020-05-11 00:00:00+00:00,212,151,517
2020-05-12 00:00:00+00:00,200,115,492
2020-05-13 00:00:00+00:00,209,116,428
2020-05-14 00:00:00+00:00,199,116,439
2020-05-15 00:00:00+00:00,297,121,445
2020-05-16 00:00:00+00:00,187,101,607
2020-05-17 00:00:00+00:00,148,109,491
2020-05-18 00:00:00+00:00,230,127,630
2020-05-19 00:00:00+00:00,334,149,754
2020-05-20 00:00:00+00:00,188,92,475
2020-05-21 00:00:00+00:00,244,121,415
2020-05-22 00:00:00+00:00,173,137,499
2020-05-23 00:00:00+00:00,118,162,555
2020-05-24 00:00:00+00:00,111,81,418
2020-05-25 00:00:00+00:00,119,114,385
2020-05-26 00:00:00+00:00,165,85,363
2020-05-27 00:00:00+00:00,204,105,365
2020-05-28 00:00:00+00:00,210,79,351
2020-05-29 00:00:00+00:00,136,72,333
2020-05-30 00:00:00+00:00,145,66,437
2020-05-31 00:00:00+00:00,90,52,267
2020-06-01 00:00:00+00:00,116,70,249
2020-06-02 00:00:00+00:00,120,68,244
2020-06-03 00:00:00+00:00,122,74,253
2020-06-04 00:00:00+00:00,144,66,275
2020-06-05 00:00:00+00:00,160,162,521
2020-06-06 00:00:00+00:00,3970,237,1632
2020-06-07 00:00:00+00:00,4699,234,1900
2020-06-08 00:00:00+00:00,797,122,631
2020-06-09 00:00:00+00:00,628,157,466
2020-06-10 00:00:00+00:00,523,90,430
2020-06-11 00:00:00+00:00,275,74,339
2020-06-12 00:00:00+00:00,221,75,296
2020-06-13 00:00:00+00:00,195,42,242
2020-06-14 00:00:00+00:00,147,51,193
2020-06-15 00:00:00+00:00,191,97,240
2020-06-16 00:00:00+00:00,192,88,281
2020-06-17 00:00:00+00:00,143,52,236
2020-06-18 00:00:00+00:00,160,77,288
2020-06-19 00:00:00+00:00,125,68,207
2020-06-20 00:00:00+00:00,85,40,214
2020-06-21 00:00:00+00:00,96,59,153
2020-06-22 00:00:00+00:00,126,58,205
2020-06-23 00:00:00+00:00,112,72,245
2020-06-24 00:00:00+00:00,139,58,228
2020-06-25 00:00:00+00:00,167,76,402
2020-06-26 00:00:00+00:00,999,139,756
2020-06-27 00:00:00+00:00,425,126,470
2020-06-28 00:00:00+00:00,321,76,336
2020-06-29 00:00:00+00:00,205,85,255
2020-06-30 00:00:00+00:00,169,107,299
2020-07-01 00:00:00+00:00,148,71,216
2020-07-02 00:00:00+00:00,143,60,220
2020-07-03 00:00:00+00:00,129,53,180
2020-07-04 00:00:00+00:00,136,51,263
2020-07-05 00:00:00+00:00,110,52,228
2020-07-06 00:00:00+00:00,153,67,204
2020-07-07 00:00:00+00:00,366,66,241
2020-07-08 00:00:00+00:00,109,62,212
2020-07-09 00:00:00+00:00,122,52,209
2020-07-10 00:00:00+00:00,127,87,247
2020-07-11 00:00:00+00:00,101,59,201
2020-07-12 00:00:00+00:00,110,61,265
2020-07-13 00:00:00+00:00,131,50,281
2020-07-14 00:00:00+00:00,143,81,357
2020-07-15 00:00:00+00:00,122,65,352
2020-07-16 00:00:00+00:00,94,77,277
2020-07-17 00:00:00+00:00,95,50,235
2020-07-18 00:00:00+00:00,63,37,201
2020-07-19 00:00:00+00:00,95,53,188
2020-07-20 00:00:00+00:00,116,64,232
2020-07-21 00:00:00+00:00,115,65,241
2020-07-22 00:00:00+00:00,213,72,371
2020-07-23 00:00:00+00:00,179,101,345
2020-07-24 00:00:00+00:00,218,103,411
2020-07-25 00:00:00+00:00,151,91,297
2020-07-26 00:00:00+00:00,135,69,249
2020-07-27 00:00:00+00:00,176,95,285
2020-07-28 00:00:00+00:00,146,112,286
2020-07-29 00:00:00+00:00,127,54,233
2020-07-30 00:00:00+00:00,107,74,227
2020-07-31 00:00:00+00:00,103,60,247
2020-08-01 00:00:00+00:00,94,54,198
2020-08-02 00:00:00+00:00,85,46,274
2020-08-03 00:00:00+00:00,116,93,302
2020-08-04 00:00:00+00:00,96,67,244
2020-08-05 00:00:00+00:00,95,61,223
2020-08-06 00:00:00+00:00,99,55,190
2020-08-07 00:00:00+00:00,96,50,234
2020-08-08 00:00:00+00:00,61,49,175
2020-08-09 00:00:00+00:00,87,53,251
2020-08-10 00:00:00+00:00,85,44,181
2020-08-11 00:00:00+00:00,99,65,189
2020-08-12 00:00:00+00:00,145,47,203
2020-08-13 00:00:00+00:00,139,71,287
2020-08-14 00:00:00+00:00,86,50,240
2020-08-15 00:00:00+00:00,58,41,150
2020-08-16 00:00:00+00:00,72,31,138
2020-08-17 00:00:00+00:00,86,39,147
2020-08-18 00:00:00+00:00,72,47,166
2020-08-19 00:00:00+00:00,70,55,151
2020-08-20 00:00:00+00:00,91,50,180
2020-08-21 00:00:00+00:00,70,65,137
2020-08-22 00:00:00+00:00,66,42,198
2020-08-23 00:00:00+00:00,49,41,117
2020-08-24 00:00:00+00:00,92,66,184
2020-08-25 00:00:00+00:00,64,68,167
2020-08-26 00:00:00+00:00,80,49,149
2020-08-27 00:00:00+00:00,74,48,129
2020-08-28 00:00:00+00:00,79,51,142
2020-08-29 00:00:00+00:00,51,36,248
2020-08-30 00:00:00+00:00,67,28,207
2020-08-31 00:00:00+00:00,71,45,164
2020-09-01 00:00:00+00:00,97,51,184
2020-09-02 00:00:00+00:00,47,44,200
2020-09-03 00:00:00+00:00,70,45,234
2020-09-04 00:00:00+00:00,67,45,153
2020-09-05 00:00:00+00:00,51,40,150
2020-09-06 00:00:00+00:00,44,43,165
2020-09-07 00:00:00+00:00,80,71,149
2020-09-08 00:00:00+00:00,83,57,163
2020-09-09 00:00:00+00:00,71,50,150
2020-09-10 00:00:00+00:00,73,66,149
2020-09-11 00:00:00+00:00,48,43,144
2020-09-12 00:00:00+00:00,50,44,140
2020-09-13 00:00:00+00:00,56,40,132
2020-09-14 00:00:00+00:00,68,50,144
2020-09-15 00:00:00+00:00,77,29,126
2020-09-16 00:00:00+00:00,63,34,128
2020-09-17 00:00:00+00:00,46,45,161
2020-09-18 00:00:00+00:00,45,202,176
2020-09-19 00:00:00+00:00,49,51,217
2020-09-20 00:00:00+00:00,42,49,181
2020-09-21 00:00:00+00:00,47,43,165
2020-09-22 00:00:00+00:00,66,30,129
2020-09-23 00:00:00+00:00,59,38,146
2020-09-24 00:00:00+00:00,43,27,138
2020-09-25 00:00:00+00:00,53,21,147
2020-09-26 00:00:00+00:00,43,53,164
2020-09-27 00:00:00+00:00,36,41,138
2020-09-28 00:00:00+00:00,44,38,139
2020-09-29 00:00:00+00:00,55,30,161
2020-09-30 00:00:00+00:00,43,46,119
2020-10-01 00:00:00+00:00,53,100,134
2020-10-02 00:00:00+00:00,120,47,186
2020-10-03 00:00:00+00:00,59,33,129
2020-10-04 00:00:00+00:00,40,63,109
2020-10-05 00:00:00+00:00,35,44,118
2020-10-06 00:00:00+00:00,60,36,122
2020-10-07 00:00:00+00:00,51,38,119
2020-10-08 00:00:00+00:00,55,34,112
2020-10-09 00:00:00+00:00,58,33,112
2020-10-10 00:00:00+00:00,47,29,107
2020-10-11 00:00:00+00:00,33,39,116
2020-10-12 00:00:00+00:00,36,43,149
2020-10-13 00:00:00+00:00,242,64,259
2020-10-14 00:00:00+00:00,107,56,173
2020-10-15 00:00:00+00:00,81,56,138
2020-10-16 00:00:00+00:00,67,38,130
2020-10-17 00:00:00+00:00,43,33,111
2020-10-18 00:00:00+00:00,69,43,110
2020-10-19 00:00:00+00:00,76,47,134
2020-10-20 00:00:00+00:00,59,46,124
2020-10-21 00:00:00+00:00,66,34,143
2020-10-22 00:00:00+00:00,61,39,161
2020-10-23 00:00:00+00:00,83,42,139
2020-10-24 00:00:00+00:00,58,31,142
2020-10-25 00:00:00+00:00,81,39,112
2020-10-26 00:00:00+00:00,89,50,143
2020-10-27 00:00:00+00:00,61,38,146
2020-10-28 00:00:00+00:00,64,42,125
2020-10-29 00:00:00+00:00,78,54,168
2020-10-30 00:00:00+00:00,67,36,137
2020-10-31 00:00:00+00:00,46,37,122
2020-11-01 00:00:00+00:00,39,35,93
2020-11-02 00:00:00+00:00,73,34,134
2020-11-03 00:00:00+00:00,58,27,134
2020-11-04 00:00:00+00:00,207,30,183
2020-11-05 00:00:00+00:00,157,34,195
2020-11-06 00:00:00+00:00,77,31,134
2020-11-07 00:00:00+00:00,106,39,160
2020-11-08 00:00:00+00:00,78,28,130
2020-11-09 00:00:00+00:00,110,33,187
2020-11-10 00:00:00+00:00,87,43,171
2020-11-11 00:00:00+00:00,73,47,150
2020-11-12 00:00:00+00:00,64,42,136
2020-11-13 00:00:00+00:00,76,50,169
2020-11-14 00:00:00+00:00,56,28,147
2020-11-15 00:00:00+00:00,65,38,183
2020-11-16 00:00:00+00:00,93,54,165
2020-11-17 00:00:00+00:00,83,50,171
2020-11-18 00:00:00+00:00,101,52,159
2020-11-19 00:00:00+00:00,64,43,143
2020-11-20 00:00:00+00:00,63,36,155
2020-11-21 00:00:00+00:00,55,33,146
2020-11-22 00:00:00+00:00,64,20,109
2020-11-23 00:00:00+00:00,77,45,124
2020-11-24 00:00:00+00:00,62,34,145
2020-11-25 00:00:00+00:00,96,37,143
2020-11-26 00:00:00+00:00,54,38,96
2020-11-27 00:00:00+00:00,40,32,86
2020-11-28 00:00:00+00:00,58,38,126
2020-11-29 00:00:00+00:00,47,183,216
2020-11-30 00:00:00+00:00,96,129,174
2020-12-01 00:00:00+00:00,53,63,157
2020-12-02 00:00:00+00:00,62,71,195
2020-12-03 00:00:00+00:00,84,49,156
2020-12-04 00:00:00+00:00,70,61,172
2020-12-05 00:00:00+00:00,46,66,133
2020-12-06 00:00:00+00:00,42,45,136
2020-12-07 00:00:00+00:00,60,40,147
2020-12-08 00:00:00+00:00,98,42,192
2020-12-09 00:00:00+00:00,56,36,190
2020-12-10 00:00:00+00:00,67,31,152
2020-12-11 00:00:00+00:00,57,34,133
2020-12-12 00:00:00+00:00,39,17,95
2020-12-13 00:00:00+00:00,31,27,91
2020-12-14 00:00:00+00:00,59,38,150
2020-12-15 00:00:00+00:00,59,25,135
2020-12-16 00:00:00+00:00,64,31,123
2020-12-17 00:00:00+00:00,52,21,117
2020-12-18 00:00:00+00:00,57,31,129
2020-12-19 00:00:00+00:00,63,20,107
2020-12-20 00:00:00+00:00,49,32,101
2020-12-21 00:00:00+00:00,61,25,136
2020-12-22 00:00:00+00:00,52,30,118
2020-12-23 00:00:00+00:00,48,42,103
2020-12-24 00:00:00+00:00,67,29,71
2020-12-25 00:00:00+00:00,35,16,113
2020-12-26 00:00:00+00:00,59,41,145
2020-12-27 00:00:00+00:00,74,85,282
2020-12-28 00:00:00+00:00,158,78,404
2020-12-29 00:00:00+00:00,86,53,248
2020-12-30 00:00:00+00:00,75,40,214
2020-12-31 00:00:00+00:00,62,44,198
2021-01-01 00:00:00+00:00,55,29,134
2021-01-02 00:00:00+00:00,59,38,162
2021-01-03 00:00:00+00:00,67,41,160
2021-01-04 00:00:00+00:00,135,79,434
2021-01-05 00:00:00+00:00,177,112,809
2021-01-06 00:00:00+00:00,107,62,361
2021-01-07 00:00:00+00:00,108,64,322
2021-01-08 00:00:00+00:00,91,42,240
2021-01-09 00:00:00+00:00,53,31,164
2021-01-10 00:00:00+00:00,137,54,285
2021-01-11 00:00:00+00:00,80,61,191
2021-01-12 00:00:00+00:00,63,46,186
2021-01-13 00:00:00+00:00,162,50,171
2021-01-14 00:00:00+00:00,78,63,141
2021-01-15 00:00:00+00:00,73,40,147
2021-01-16 00:00:00+00:00,56,37,105
2021-01-17 00:00:00+00:00,38,28,101
2021-01-18 00:00:00+00:00,69,47,108
2021-01-19 00:00:00+00:00,81,32,139
2021-01-20 00:00:00+00:00,57,41,128
2021-01-21 00:00:00+00:00,39,33,104
2021-01-22 00:00:00+00:00,40,20,95
2021-01-23 00:00:00+00:00,37,28,85
2021-01-24 00:00:00+00:00,26,21,80
2021-01-25 00:00:00+00:00,55,23,103
2021-01-26 00:00:00+00:00,54,21,87
2021-01-27 00:00:00+00:00,57,46,109
2021-01-28 00:00:00+00:00,51,34,113
2021-01-29 00:00:00+00:00,56,34,89
2021-01-30 00:00:00+00:00,81,34,102
2021-01-31 00:00:00+00:00,46,22,68
2021-02-01 00:00:00+00:00,68,27,90
2021-02-02 00:00:00+00:00,63,31,201
2021-02-03 00:00:00+00:00,39,22,72
2021-02-04 00:00:00+00:00,41,32,82
2021-02-05 00:00:00+00:00,31,14,96
2021-02-06 00:00:00+00:00,31,28,50
2021-02-07 00:00:00+00:00,30,14,70
2021-02-08 00:00:00+00:00,43,31,73
2021-02-09 00:00:00+00:00,36,24,88
2021-02-10 00:00:00+00:00,35,28,64
2021-02-11 00:00:00+00:00,32,11,73
2021-02-12 00:00:00+00:00,29,100,79
2021-02-13 00:00:00+00:00,28,25,64
2021-02-14 00:00:00+00:00,22,12,54
2021-02-15 00:00:00+00:00,37,27,64
2021-02-16 00:00:00+00:00,25,25,64
2021-02-17 00:00:00+00:00,27,29,55
2021-02-18 00:00:00+00:00,33,25,79
2021-02-19 00:00:00+00:00,26,15,60
2021-02-20 00:00:00+00:00,28,12,42
2021-02-21 00:00:00+00:00,32,14,57
2021-02-22 00:00:00+00:00,35,25,77
2021-02-23 00:00:00+00:00,49,13,96
2021-02-24 00:00:00+00:00,39,24,76
2021-02-25 00:00:00+00:00,62,32,106
2021-02-26 00:00:00+00:00,67,37,105
2021-02-27 00:00:00+00:00,24,23,63
2021-02-28 00:00:00+00:00,30,14,70
2021-03-01 00:00:00+00:00,26,24,61
2021-03-02 00:00:00+00:00,23,15,81
2021-03-03 00:00:00+00:00,33,18,71
2021-03-04 00:00:00+00:00,37,25,85
2021-03-05 00:00:00+00:00,35,19,75
2021-03-06 00:00:00+00:00,28,17,58
2021-03-07 00:00:00+00:00,41,13,65
2021-03-08 00:00:00+00:00,33,19,61
2021-03-09 00:00:00+00:00,37,19,61
2021-03-10 00:00:00+00:00,35,13,55
2021-03-11 00:00:00+00:00,33,23,59
2021-03-12 00:00:00+00:00,34,23,62
2021-03-13 00:00:00+00:00,39,15,49
2021-03-14 00:00:00+00:00,31,17,81
2021-03-15 00:00:00+00:00,53,16,71
2021-03-16 00:00:00+00:00,42,25,80
2021-03-17 00:00:00+00:00,35,18,99
2021-03-18 00:00:00+00:00,33,13,69
2021-03-19 00:00:00+00:00,36,14,69
2021-03-20 00:00:00+00:00,39,19,85
2021-03-21 00:00:00+00:00,27,12,58
2021-03-22 00:00:00+00:00,43,27,87
2021-03-23 00:00:00+00:00,38,16,88
2021-03-24 00:00:00+00:00,35,16,75
2021-03-25 00:00:00+00:00,60,26,72
2021-03-26 00:00:00+00:00,36,32,66
2021-03-27 00:00:00+00:00,29,16,59
2021-03-28 00:00:00+00:00,36,18,70
2021-03-29 00:00:00+00:00,44,21,59
2021-03-30 00:00:00+00:00,45,45,105
2021-03-31 00:00:00+00:00,107,49,193
2021-04-01 00:00:00+00:00,88,33,162
2021-04-02 00:00:00+00:00,52,18,96
2021-04-03 00:00:00+00:00,35,26,81
2021-04-04 00:00:00+00:00,32,18,65
2021-04-05 00:00:00+00:00,55,25,97
2021-04-06 00:00:00+00:00,75,25,103
2021-04-07 00:00:00+00:00,50,23,100
2021-04-08 00:00:00+00:00,73,31,118
2021-04-09 00:00:00+00:00,72,23,111
2021-04-10 00:00:00+00:00,53,12,81
2021-04-11 00:00:00+00:00,40,11,96
2021-04-12 00:00:00+00:00,56,19,108
2021-04-13 00:00:00+00:00,64,31,97
2021-04-14 00:00:00+00:00,74,32,101
2021-04-15 00:00:00+00:00,58,20,106
2021-04-16 00:00:00+00:00,54,22,98
2021-04-17 00:00:00+00:00,48,13,72
2021-04-18 00:00:00+00:00,40,10,65
2021-04-19 00:00:00+00:00,64,15,115
2021-04-20 00:00:00+00:00,66,23,89
2021-04-21 00:00:00+00:00,50,23,82
2021-04-22 00:00:00+00:00,56,12,106
2021-04-23 00:00:00+00:00,76,21,118
2021-04-24 00:00:00+00:00,42,14,93
2021-04-25 00:00:00+00:00,39,17,94
2021-04-26 00:00:00+00:00,62,15,116
2021-04-27 00:00:00+00:00,73,30,113
2021-04-28 00:00:00+00:00,95,34,144
2021-04-29 00:00:00+00:00,71,14,115
2021-04-30 00:00:00+00:00,66,25,125
2021-05-01 00:00:00+00:00,77,22,117
2021-05-02 00:00:00+00:00,62,16,146
2021-05-03 00:00:00+00:00,79,21,153
2021-05-04 00:00:00+00:00,94,39,147
2021-05-05 00:00:00+00:00,85,25,160
2021-05-06 00:00:00+00:00,83,27,177
2021-05-07 00:00:00+00:00,91,27,172
2021-05-08 00:00:00+00:00,88,27,118
2021-05-09 00:00:00+00:00,67,19,88
2021-05-10 00:00:00+00:00,88,52,172
2021-05-11 00:00:00+00:00,178,49,153
2021-05-12 00:00:00+00:00,120,23,127
2021-05-13 00:00:00+00:00,64,15,98
2021-05-14 00:00:00+00:00,71,23,110
2021-05-15 00:00:00+00:00,37,15,100
2021-05-16 00:00:00+00:00,39,28,97
2021-05-17 00:00:00+00:00,47,12,84
2021-05-18 00:00:00+00:00,75,21,118
2021-05-19 00:00:00+00:00,51,25,95
2021-05-20 00:00:00+00:00,52,16,111
2021-05-21 00:00:00+00:00,70,15,111
2021-05-22 00:00:00+00:00,45,18,112
2021-05-23 00:00:00+00:00,20,10,57
2021-05-24 00:00:00+00:00,43,18,103
2021-05-25 00:00:00+00:00,33,12,95
2021-05-26 00:00:00+00:00,48,37,110
2021-05-27 00:00:00+00:00,36,31,82
2021-05-28 00:00:00+00:00,45,22,95
2021-05-29 00:00:00+00:00,35,16,72
2021-05-30 00:00:00+00:00,19,14,41
2021-05-31 00:00:00+00:00,49,22,138
2021-06-01 00:00:00+00:00,60,20,149
2021-06-02 00:00:00+00:00,54,32,118
2021-06-03 00:00:00+00:00,39,9,107
2021-06-04 00:00:00+00:00,43,33,137
2021-06-05 00:00:00+00:00,54,43,111
2021-06-06 00:00:00+00:00,31,11,78
2021-06-07 00:00:00+00:00,33,18,77
2021-06-08 00:00:00+00:00,62,22,130
2021-06-09 00:00:00+00:00,105,54,317
2021-06-10 00:00:00+00:00,46,20,197
2021-06-11 00:00:00+00:00,43,14,101
2021-06-12 00:00:00+00:00,39,20,87
2021-06-13 00:00:00+00:00,27,11,65
2021-06-14 00:00:00+00:00,41,14,75
2021-06-15 00:00:00+00:00,25,20,79
2021-06-16 00:00:00+00:00,45,11,79
2021-06-17 00:00:00+00:00,41,16,79
2021-06-18 00:00:00+00:00,40,21,91
2021-06-19 00:00:00+00:00,32,10,69
2021-06-20 00:00:00+00:00,33,12,77
2021-06-21 00:00:00+00:00,32,17,66
2021-06-22 00:00:00+00:00,38,10,77
2021-06-23 00:00:00+00:00,44,15,76
2021-06-24 00:00:00+00:00,43,10,71
2021-06-25 00:00:00+00:00,24,10,73
2021-06-26 00:00:00+00:00,38,10,64
2021-06-27 00:00:00+00:00,28,18,55
2021-06-28 00:00:00+00:00,56,44,68
2021-06-29 00:00:00+00:00,36,14,85
2021-06-30 00:00:00+00:00,33,15,73
2021-07-01 00:00:00+00:00,34,23,59
2021-07-02 00:00:00+00:00,37,24,57
2021-07-03 00:00:00+00:00,27,10,48
2021-07-04 00:00:00+00:00,30,19,60
2021-07-05 00:00:00+00:00,32,17,56
2021-07-06 00:00:00+00:00,33,24,66
2021-07-07 00:00:00+00:00,50,21,79
2021-07-08 00:00:00+00:00,31,18,88
2021-07-09 00:00:00+00:00,47,17,99
2021-07-10 00:00:00+00:00,21,13,51
2021-07-11 00:00:00+00:00,18,9,50
2021-07-12 00:00:00+00:00,31,18,67
2021-07-13 00:00:00+00:00,34,20,76
2021-07-14 00:00:00+00:00,34,20,82
2021-07-15 00:00:00+00:00,36,30,104
2021-07-16 00:00:00+00:00,43,26,80
2021-07-17 00:00:00+00:00,32,10,96
2021-07-18 00:00:00+00:00,23,15,94
2021-07-19 00:00:00+00:00,39,31,120
2021-07-20 00:00:00+00:00,50,19,116
2021-07-21 00:00:00+00:00,36,18,74
2021-07-22 00:00:00+00:00,38,22,91
2021-07-23 00:00:00+00:00,39,16,105
2021-07-24 00:00:00+00:00,22,32,199
2021-07-25 00:00:00+00:00,22,42,165
2021-07-26 00:00:00+00:00,23,20,119
2021-07-27 00:00:00+00:00,32,26,117
2021-07-28 00:00:00+00:00,48,22,106
2021-07-29 00:00:00+00:00,41,11,84
2021-07-30 00:00:00+00:00,29,16,97
2021-07-31 00:00:00+00:00,36,9,73
2021-08-01 00:00:00+00:00,28,23,72
2021-08-02 00:00:00+00:00,35,18,109
2021-08-03 00:00:00+00:00,27,20,92
2021-08-04 00:00:00+00:00,51,18,116
2021-08-05 00:00:00+00:00,42,18,97
2021-08-06 00:00:00+00:00,33,14,87
2021-08-07 00:00:00+00:00,35,19,72
2021-08-08 00:00:00+00:00,31,15,58
2021-08-09 00:00:00+00:00,31,18,130
2021-08-10 00:00:00+00:00,53,34,119
2021-08-11 00:00:00+00:00,62,26,190
2021-08-12 00:00:00+00:00,44,20,102
2021-08-13 00:00:00+00:00,36,26,107
2021-08-14 00:00:00+00:00,30,24,65
2021-08-15 00:00:00+00:00,27,12,70
2021-08-16 00:00:00+00:00,31,13,73
2021-08-17 00:00:00+00:00,43,6,84
2021-08-18 00:00:00+00:00,32,14,77
2021-08-19 00:00:00+00:00,28,21,91
2021-08-20 00:00:00+00:00,43,14,90
2021-08-21 00:00:00+00:00,23,9,79
2021-08-22 00:00:00+00:00,37,12,79
2021-08-23 00:00:00+00:00,34,25,100
2021-08-24 00:00:00+00:00,39,24,95
2021-08-25 00:00:00+00:00,28,16,70
2021-08-26 00:00:00+00:00,29,17,62
2021-08-27 00:00:00+00:00,26,13,58
2021-08-28 00:00:00+00:00,23,6,85
2021-08-29 00:00:00+00:00,24,10,72
2021-08-30 00:00:00+00:00,33,15,84
2021-08-31 00:00:00+00:00,42,23,98
2021-09-01 00:00:00+00:00,26,8,81
2021-09-02 00:00:00+00:00,34,10,84
2021-09-03 00:00:00+00:00,19,12,59
2021-09-04 00:00:00+00:00,14,12,48
2021-09-05 00:00:00+00:00,23,7,66
2021-09-06 00:00:00+00:00,28,9,61
2021-09-07 00:00:00+00:00,21,12,51
2021-09-08 00:00:00+00:00,29,18,98
2021-09-09 00:00:00+00:00,39,12,94
2021-09-10 00:00:00+00:00,28,10,88
2021-09-11 00:00:00+00:00,13,5,48
2021-09-12 00:00:00+00:00,22,8,40
2021-09-13 00:00:00+00:00,31,9,70
